engine_id,time_s,mission_id,mission_type,phase,random_seed,model_version,altitude_ft,altitude_m,ambient_temperature_C,ambient_pressure_hPa,throttle_pct,rpm,power_kW,torque_Nm,fuelflow_kgh,p_plenum_bar,t_plenum_K,coolant_temp_C,EGT1_C,EGT2_C,EGT3_C,EGT4_C,EGT_mean_C,EGT_max_C,EGT_min_C,EGT_spread_C,oil_pressure_bar,oil_temperature_C,battery_voltage_V,battery_soc_pct,generator_A_current_A,generator_B_current_A,generator_voltage_V,generator_power_W,generator_switch_ready,generator_switch_latched,generator_switch_threshold_rpm,generator_switch_hold_time_s,generator_time_above_threshold_s,vibration_amplitude,vibration_frequency_Hz,vibration_1x,vibration_2x,vibration_3x,engine_state_valid,outside_calibrated_envelope,extrapolation_used,health_state_valid,mission_generated_values,stage3_values,stage3_validation_status,stage3_ambient_source,stage4_production_source,ambient_source
ENG_0001,0.0,temp_mission_001,NORMAL,TAKEOFF,42,stage5_mission_generator,0.0,0.0,15.0,1013.25,100.0,5800.0,104.3921186,171.8743623623316,33.95,1.5206,292.75,85.62089243784948,588.5919123838711,634.3565700605736,680.1212277372761,725.8858854139786,657.2388988989248,725.8858854139786,588.5919123838711,137.2939730301075,4.253939295225806,79.95881779,14.5,91.0,44.0,42.0,14.5,420.0,True,False,2400.0,8.0,0.0,0.3608842130666667,96.66666666666667,0.3608842130666667,0.21653052784000001,0.14435368522666667,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
ENG_0001,1.0,temp_mission_001,NORMAL,TAKEOFF,42,stage5_mission_generator,0.770517676343581,0.2348537877495235,14.99847437500084,1013.2217867065649,99.98458964647313,5799.691792929462,104.31421214982335,171.75522173734535,33.91370357311839,1.5195540805550005,292.7486542943124,85.59927197963144,588.414031339762,634.1623563352797,679.9106813307975,725.6590063263152,657.0365188330386,725.6590063263152,588.414031339762,137.2449749865532,4.253054686926232,79.94737099116024,14.5,91.0,43.99794528619641,41.99794528619641,14.499945610516964,420.0,True,False,2400.0,8.0,1.0,0.3608555044246493,96.66152988215771,0.3608555044246493,0.21651330265478957,0.14434220176985973,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
ENG_0001,2.0,temp_mission_001,NORMAL,TAKEOFF,42,stage5_mission_generator,5.7141774315921365,1.7416812811492832,14.988685928685447,1013.0407846774468,99.88571645136815,5797.714329027363,103.81436251075982,170.99051129302433,33.68082483413168,1.5128434364955268,292.74002021458404,85.46055460498319,587.2727423259188,632.9162764501203,678.5598105743219,724.2033446985234,655.7380435122211,724.2033446985234,587.2727423259188,136.93060237260465,4.247379019016163,79.87392805728874,14.5,91.0,43.984762193515756,41.984762193515756,14.499596646298947,420.0,True,False,2400.0,8.0,2.0,0.3606713090939952,96.62857215045605,0.3606713090939952,0.2164027854563971,0.1442685236375981,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
ENG_0001,3.0,temp_mission_001,NORMAL,TAKEOFF,42,stage5_mission_generator,17.82858982791855,5.434154179549574,14.964699392140721,1012.5973508398272,99.64342820344163,5792.868564068833,102.58948358228145,169.11438511800068,33.11015670119102,1.496399038295365,292.71886244732826,85.1206284032982,584.4760195614906,629.8627642031339,675.2495088447771,720.6362534864204,652.5561365239555,720.6362534864204,584.4760195614906,136.1602339249298,4.23347082446168,79.6939565316248,14.5,91.0,43.95245709379222,41.95245709379222,14.498741511306264,420.0,True,False,2400.0,8.0,3.0,0.3602199393987702,96.5478094011472,0.3602199393987702,0.2161319636392621,0.14408797575950807,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
ENG_0001,4.0,temp_mission_001,NORMAL,TAKEOFF,42,stage5_mission_generator,38.953956148531994,11.873165834072552,14.922871166825907,1011.8244576364596,99.22092087702936,5784.418417540587,100.43496779372255,165.80461954661936,32.10228634075894,1.4678012547673018,292.6793746599112,84.52437623229078,579.5567014826009,624.492615081491,669.428528680381,714.364442279271,646.960571880936,714.364442279271,579.5567014826009,134.80774079667003,4.209131651910848,79.37733647704688,14.5,91.0,43.896122783603914,41.896122783603914,14.497250308977751,420.0,True,False,2400.0,8.0,4.0,0.3594292988452736,96.40697362567646,0.3594292988452736,0.21565757930716414,0.14377171953810944,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
ENG_0001,5.0,temp_mission_001,NORMAL,TAKEOFF,42,stage5_mission_generator,69.91055601089647,21.308737472121244,14.861577099098424,1010.6927416060038,98.60178887978208,5772.035777595642,97.1790533078588,160.77370925839085,30.597483048804552,1.42473961057539,292.6232488999259,83.62399248418863,572.1316879665768,616.386743472283,660.6417989779892,704.8968544836954,638.5142712251361,704.8968544836954,572.1316879665768,132.7651665171186,4.1726032919355145,78.8985582327646,14.5,91.0,43.813571850637615,41.813571850637615,14.49506513722276,420.0,True,False,2400.0,8.0,5.0,0.35825190585996747,96.2005962932607,0.35825190585996747,0.21495114351598046,0.143300762343987,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
ENG_0001,6.0,temp_mission_001,NORMAL,TAKEOFF,42,stage5_mission_generator,110.63623497994915,33.7219244218885,14.7809402547397,1009.2054475310641,97.78727530040102,5755.74550600802,92.82647456280077,154.00742365390371,28.615381618806623,1.3674823822780693,292.5494113436949,82.42184563504372,562.21112653435,605.5568183571456,648.9025101799414,692.248202002737,627.2296642685435,692.248202002737,562.21112653435,130.037075468387,4.123995705103696,78.25831267175788,14.5,91.0,43.70497004005347,41.70497004005347,14.49219038341318,420.0,True,False,2400.0,8.0,6.0,0.3566897810204182,95.92909176680034,0.3566897810204182,0.2140138686122509,0.1426759124081673,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
ENG_0001,7.0,temp_mission_001,NORMAL,TAKEOFF,42,stage5_mission_generator,160.32389218131894,48.86672233686601,14.682558693480988,1007.3932643467159,96.79352215637363,5735.870443127473,87.42778934165099,145.55312894829387,26.435636424542718,1.30098054390424,292.4225248912014,80.95397626688069,549.8910848951398,592.1205439859351,634.3500030767303,676.5794621675257,613.2352735313327,676.5794621675257,549.8910848951398,126.68837727238588,4.06505302594262,77.46393293738073,14.5,91.0,43.572469620849816,41.572469620849816,14.488683019375436,420.0,True,False,2400.0,8.0,7.0,0.35476708219628883,95.59784071879122,0.35476708219628883,0.21286024931777328,0.14190683287851555,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
ENG_0001,8.0,temp_mission_001,NORMAL,TAKEOFF,42,stage5_mission_generator,217.5589679145449,66.31197342035328,14.569233243529201,1005.3090821397642,95.64882064170911,5712.976412834182,81.00457589091036,135.3999498804703,24.0586452629435,1.2241511868917268,292.2493634073222,79.21913074039435,535.2350205964995,576.1424075161929,617.0497944358863,657.9571813555797,596.5961009760396,657.9571813555797,535.2350205964995,122.72216075908023,3.9959303015779963,76.51821668727722,14.5,91.0,43.41984275222788,41.41984275222788,14.484642896382503,420.0,True,True,2400.0,8.0,8.0,0.3525133816043783,95.21627354723637,0.3525133816043783,0.21150802896262696,0.14100535264175132,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
ENG_0001,9.0,temp_mission_001,NORMAL,TAKEOFF,42,stage5_mission_generator,280.4569312662947,85.48327264996664,14.444695276092736,1003.0227173844746,94.3908613746741,5687.817227493482,74.36409635554179,124.85014602442271,21.595285907597003,1.1457294167442584,292.0304889008477,77.43128686052901,520.0343876492351,559.5774310809608,599.1204745126864,638.6635179444121,579.3489527968236,638.6635179444121,520.0343876492351,118.62913029517699,3.9239092761285597,75.54166828479633,14.5,91.0,43.25211484995655,41.25211484995655,14.48020304014591,420.0,True,True,2400.0,8.0,9.0,0.35011636501921467,94.79695379155804,0.35011636501921467,0.2100698190115288,0.14004654600768587,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
